DiagnosticCentreName,DiagnosticCentreAddress,CityName
"Dr Chandrakanth Malabar Super Speciality Eye Hospital","Opp. Malabar Hills, KP Chandran Road, Rajeev Nagar, Cherooty Nagar, Kozhikode- 673 004 ",Trivandrum
"Delhi Institute Of Functional Imaging  (Difi)","14 Kaushalya Park, Hauz Khas, New Delhi. Tel. No. 01143112233/44.",DELHI/HQ/DIRECTORATE/MINISTRY
"Yash Hospital,","8 B, ELGIN ROAD, CIVIL LINES, ALLAHABAD",Prayagraj
"Dd Eye Institute","BYPASS BARAN ROAD NAYA NOHRA KOTA",Jaipur
"Gupta Multispeciality Hospital","B20 (opp. Ram Mandir), Vivek Vihar, Delhi110095. Tel. No. 0114565241021.",DELHI/HQ/DIRECTORATE/MINISTRY
"Om Hospital","Sy No. 201/5 Alandi Road, Hutatma Chowk, Bhosari, Pune - 411039",Pune
"Manipal Hospital","Main Sikar Road, Vidhyadhar Nagar, Sector-05, Jaipur

",Jaipur
"M/S. Modern Eye Hospital And Research Centre, Nellore","Mob : 7794881427",Hyderabad
"Rnh Hospital","Plot No. 40, Balraj Marg,
Dhantoli, Nagpur-12.
0712-2420044, 6993372,
9822470478
 rnhhospital@gmail.com

",Nagpur
"New Delhi Centre For Sight  Limited, Ajc Bose Road","1 A, Acharya Jagadish Chandra Bose Rd, Elgin, Kolkata, West Bengal 700020 ",Kolkata
"Shroff Eye Centre","509, K.M. Trade Tower, Adjacent to Radisson Blue Hotel, Sec14, Kaushambi, Ghaziabad201010. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Modern Diagnostic And Research Centre","Plot No. 8 Sector-44, Institutional Area, Gurgaon
Nodal Officer Nawal Kishore Sharma Mobile No. 9953028031 Email echs@mdrcindia.com Empanelled w.e.f. 06.09.2023
",DELHI/HQ/DIRECTORATE/MINISTRY
"Himagiri Hospitals Pvt., Ltd.,","P.No.4,5, 23 & 24 Stadium Main Road, Gachibowli, Hyderabad-500 032,                                           Tel.No.040-68101111                                     ",Hyderabad
"Brij Dental Clinic","B1675, Main Chhawla Bus Stand, Nagafgarh, Delhi.",DELHI/HQ/DIRECTORATE/MINISTRY
"Smaran Advance Dental Clinic","Shop No. 06, Deep Rachna Complex, Pune-Nashik Highway, Moshi-412105",Pune
"Sanjeevani Cbcc Usa Cancer Hospital,","Dawada Colony, Pachpedi Naka Raipur- 492001",Nagpur
"Shri Kripa Dental Clinic","Near Mihir Bhoj Inter College, G T Road, Dadri, Gautam Budh Nagar, Uttar Pradesh-203207. Nodal Officer: Anju, Mob. 9312989054. 
Email- shrikripadentalclinic@gmail.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"J K Dental Clinic","D-6 Shop No 2-3 Milap Nagar Near Desu Uttam Nagar ND 110059 Nodal Officer Nitasha Ahuja Mob 7042741101 Email dr_jkahuja@yahoo.co.in",DELHI/HQ/DIRECTORATE/MINISTRY
"Rinchi Trust Hospital","KATHAL MORE, ITKI ROAD, RANCHI- 835303",Ranchi
"Fortis Escorts Hospital (A Unit Of Fortis Hospitals Limited)","214, JLN MARG",Jaipur
"Sreenethra Eye Care Pvt. Ltd.","BAKERY JUNCTION, NANDAVANAM ROAD, PALAYAM, TRIVANDRUM",Trivandrum
"Indowestern Brain & Spine Hospital","Near New Vidhansabha",Jaipur
"Munshilal Multispeciality Hospital","Near ICICI Bank Delhi Road, Baghpat",Meerut
"Prachin Healthcare Multi-Speciality Hospital","Multi-Specialty Hospital, Plot No. 69/2, Near Hotel Garden,
 Panvel - 410206, 022-71333258
022-71333259",Mumbai
"Smile Castle Dental Clinic","Shop No. 3, E-32, Z-More, Saidulajab, Opp. Axis Bank, Sainik Farm, New Delhi-110030.
Nodal Officer:-Dr. Arun Kumar, Mob. 9639294734
Email-smilecastledentalclinic@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Op  Chaudhary Hospital","Chaudhary Vihar, Raebareili Raod, Utrathiya Lucknow, UP-226029",Lucknow
"Jitm Skill Private Limited","D-87, Sector, NOIDA, Gautam Budh Nagar, UP-201301. Nodal Officer: Mr. Harish Kapoor, Mob. 9910508767. 
Email- jitmskillspvtltd@gmail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Agilus Diagnostics Limited","Plot No 160 Pocket D 11 SEctor 8 Rohini New Delhi 110085",DELHI/HQ/DIRECTORATE/MINISTRY
"Chandan Diagnostic Centre (A Unit Of Chandan Healthcare Ltd.)","First floor, Indradeep Complex, Sanjay gandhi Puram, Faizabad Road, Lucknow",Lucknow
"D.R.R. Eye Care And Oculoplasty Hospital","399, Trunk Rd, DRR Nagar, Karayanchavadi, Poonamallee, Chennai, Tamil Nadu 600056",Chennai
"Asg Hospital Pvt. Ltd Patna","Old R.K. Avenue, Rajendra Nagar Near Dinkar Golamber, Patna  - 800004 Mr. Vimal, Corporate Manager, 8789754131, 8407803831 patna@asgeyehospital.com",Patna
"Sun Eye Hospital","57-B, Singar Nagar, Alambagh Lucknow-226005.",Lucknow
"Heart & General Hospital","7, Vivekanand Marg",Jaipur
"Panchshil Hospital","NEAR POLICE STATION AND METRO RAILWAY STATION, SABARMATI, AHMEDABAD Dr. Mehul N. Shelat Mob:9825398891 Email : marketingpanchshil1@gmail.com",Ahmedabad
"Iksha Eye Care","102, 1st floor, suryoday Building, Juhutara Road, Navyug Colony, Santacurz (W), Mumbai 400054
",Mumbai
"Asg Hospital Privet Limited","15/153A2Audi Showroom,1stAND2nd FloorDr Jack De Sequeria Road,Caranzalem,Panjim,Goa",Mumbai
"Gut Gi & Liver Hospital","A-3-4, silver crest colony, opp. Chinnar woodland main koral road Chuna bhatti , 0755-0755 - 4017040",Bhopal
"Kashyap Memorial Eye Hospital Pvt Ltd","Purulia Road, Ranchi-834001, Mob. No. 9693710011",Ranchi
"Sahyadri Hospital","Mumbai-Agra Road, Near Dwarka Circle, Wadala Road, Nashik 422001",Mumbai
"Sehgal Dental Clinic","CA115/1, Opp. Shopping Centre, Tagore Garden, New Delhi  110027. Tel.No. 01125423227, 9654654555.",DELHI/HQ/DIRECTORATE/MINISTRY
"Karuna Sindhu Charitable Hospital","Bakkarwala Marg, Nangloi, Nagafgarh Road, New Delhi110041. Tel. No. 9582860008.",DELHI/HQ/DIRECTORATE/MINISTRY
"Dr. Asrani Dental Clinic","251-B, Near Union Bank, Jaripatka, Nagpur-440014 
Email: asranidentalcare@  gmail.com
Name ",Nagpur
"Upkar Hospital, Varanasi","BHU Rd, Kedar Nagar Colony, Brij Enclave Colony, Sundarpur, Nagwa, Varanasi, Uttar Pradesh 221005",Prayagraj
"Kpc Medical College","1F, Raja Subodh Chandra Mullick Road Jadavpur, Kolkata 700032, West Bengal  ",Kolkata
"Matrix Diagnostics","6th Phase KPHB,Hyderabad,
PMJAY NODAL PERSON CONTACT NO:9100010525(SARITHA),
Email:nrreddy9390@gmail.com",Hyderabad
"Maharaja Agarsain Multi Speciality Hospital","Plot No. 6, 7, 9, Bawana Road, Narela, Delhi110040. Tel. No. 9667097114.",DELHI/HQ/DIRECTORATE/MINISTRY
"Amita Hospital, Prayagraj","7/2A, Lowther Rd, Darbhanga Colony, George Town, Prayagraj, Uttar Pradesh 211002",Prayagraj
"Utthan Shambhunath Hospital","Utthan Campus, Jhalwa, Prayagraj",Prayagraj
"Jeevan Jyoti Hospital,","162, BAI KA BAGH, LOWTHER ROAD, ALLAHABAD",Prayagraj
"Apple Dental Care, Vijayawada","41-2-70, Old Post Office Road, Krishna Lanka, Vijayawada - 520013. Tel. No. 0866- 2521810 ",Hyderabad
"Kailash Eye Care (Unit Of Kailash Nursing Home)","5051, South Patel Nagar (Near Metro Pillar No.190), New Delhi. Tel. No. 9810760157.",DELHI/HQ/DIRECTORATE/MINISTRY
"Shree Krishan Dental Hospital","SHOP NO. 3, NEAR MURLIPURA POLICE STATION JAIPUR",Jaipur
"Q1 Hospitals  Visakhapatnam","Plot No.13A, 13B, Health City, Visakhapatnam-530 040. Tel.No.0891-6666013",Hyderabad
"Infinity Care Hospital, Varanasi","92,93, Tegore Town, Panchkoshi Road, Orderly Bazar, Varanasi-221002",Prayagraj
"Public Path Lab","G-63, Malka Ganj, Near City Park, Delhi 11007. Nodal Officer: Mr. Deepak Kumar, Mob. 9818829796. 
Email. publicpathlab@gamail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Apex Hospital","Vaishali Heights, Chandavakar Road, Borivali (W), Mumbai- 400 092, 022-42457000",Mumbai
"Cosmodentz Dental Clinic","H No 79 Basement Sector- 10 A Gurugram Nodal Officer Dr. Ashutosh Kaushik Mob 9017176969 Email dr.ashutoshkaushik@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Saxena Multi Speciality Hospital Pvt. Ltd","112/113, T.P. Scheme, Delhi Road, Sonipat-131001.
Nodal Officer
Dr Abhimanu kumar
Mobile No. 82210 43977
Email.Id. dr.abhimanukumar@gmail.com
Saxenahosp@gmail.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Nest Hospital","42-P, SECTOR-15, OPP. MG MALL, SONEPAT-131001
NODAL OFFICER: DR. SUSHIL SAROHA, MOB. 8950963908, nesthospitalsonepat@gmail.com",DELHI/HQ/DIRECTORATE/MINISTRY
"Choudhary Eye Hospital","93/94, Bharari, CA Road, Gandhibag, Agrasen Square, Nagpur-440018

Contact No:-  0712-2727682

Email:- prashantvinayakeye@gmail.com    


",Nagpur
"Tathastu Specialty Dental Clinic","5/A RATLAM KOTHI, NEAR TVS DUGAR SHOWROOM, GEETA BHAWAN SQUARE, AB ROAD, INDORE (M.P), 9111007770, 9329912002",Bhopal
"Jain Muiltispecility Hospital","SHREE RAJ ENCLAVE,C-WING,NEAR SEVEN SQUARE ACADEMY,BHAYANDER(WEST) MUMBAI MOB NO-9930811123
",Mumbai
"S. V. Eye Care And Research Centre","HIG -5 SHALIMAR COMPLEX STATE BANK SQARE SULTANIA ROAD BHOPAL MP - 462001",Bhopal
"Purvanchal Netralaya Retina Care Center, Varanasi","C-21/1-41, Lajpat Nagar, Vidyapeeth road, Maldahiya, Varanasi - 221001",Prayagraj
"Hcg Ics Khubchandani Cancer Centre","31 Queens Barracks, Lady Ratan Tata Building, Maharshi Karve Road, Cooperage, Mumbai 400021",Mumbai
"Dental Care Clinic Empanelment","PD1, /1 B, Pitam Pura, New Delhi110088. Tel.No.01127311808, 9810131331.",DELHI/HQ/DIRECTORATE/MINISTRY
"Mani Super Speciality Hospital, Varanasi","10/75 B, Kakarmatta, BLW, near DLW Road, Varanasi, Uttar Pradesh 221004",Prayagraj
"Accord Hospital","Plot 1/1,Sant Nagar,,Sector No.4,Moshi Pradhikaran,",Pune
"Life Line Dental Care","C4, Anand Vihar, Delhi110092. Tel. No.01142427475",DELHI/HQ/DIRECTORATE/MINISTRY
"Narayana Netralaya-1",cghs.nn1@narayananethralaya.com,Bengaluru
"Singhs Dental Hospital","3034 Sewak Park, Opp. Metro Pillar No. 771, Dwarka, Main Nagafgarh Road, New Delhi59. Ph.No.01125336740, ",DELHI/HQ/DIRECTORATE/MINISTRY
"Smita Memorial  Hospital And Research Centre","VENGALLOOR, THODUPUZHA, ",Trivandrum
"Thyrocare Technologies Ltd","37/1, TTC INDUSTRIAL ESTATE MIDC, TURBHE, NAVI MUMBAI 400703.contact no 022-67123444",Mumbai
"Agrawal Eye Hospital,","61, Shivaji Road, Near Eves Crossing, Meerut Ph. No. 0121-2650642",Meerut
"Occura Eye Care & Research Centre(Healthcare Unit Of Astron Packing Ltd)","Rajpath Club road,Opp. Kensvile Golf Academy,Bodakdev Ahmedabad 385009 Contact.079- 49131202/04",Ahmedabad
"Prakash Eye Hospital & Laser Centre,","Opp. Puri Petrol Pump, Garden House Colony, Garh Road, Meerut Ph. No. 7895517715, 9837059353",Meerut
"Ivory Dental Clinic","Shop No.LGF-12A, River View Arcade Gomti Nagar Extension Lucknow Uttar Pradesh-226010",Lucknow
"Lifekare Hospital","3,4,5 Nirankari Colony, Amritsar Punjab-143001",Chandigarh
"Amrita Hospital, Aimsarc Faridabad","Mata Amritanandamayi Marg, Sector 88, Faridabad, Haryana, India 121002. Nodal Officer: Amit Singh Negi Mobile No. 9953531693 / 9810529021 Email Id. amitsingh@fbd.amrita.edu sangeetac@fbd.amrita.edu",DELHI/HQ/DIRECTORATE/MINISTRY
"Satya Shiv Dental  Clinic","UGF- 7, Complex Milan Tower,
Kursi Road, (Near Gaytri Mandir), Lucknow.
",Lucknow
"Dr. P. Bhasin Path Lab Pvt. Ltd.","S13, Greater Kailash, PartI, New Delhi, Tel. No. 0119311193111,",DELHI/HQ/DIRECTORATE/MINISTRY
"Niyakshi Hospital","182, Next to Power House, Manewada Road, Tukdoji Chowk, Nagpur-440027.
0712-2702714/2704894
drviralshah1@rediffmail.com
",Nagpur
"Focus Diagnostics Bareilly","116-D/1-5 Gulmohar Park Near Jhulelal Dwar (Delapeer Talaab), Rajendra Nagar, Bareilly-243122",Lucknow
"Asian Eye Hospital (Sai Surya Eye Care Pvt.Ltd)","Sakar-10,  3rd Floor,Above Fab India,Opp Jehangir Nursing Home, Sasoon Road, Pune-411001",Pune
"Dr Lal Pathlabs Ltd","Ploat No 17, Ground Floor, Industrial Area, Phase-1, Chandigarh-160002
Tel: 0172-4182914  Mob: 7347010601",Chandigarh
"Ganesh Diagnostic And Imaging Centre Pvt. Ltd. Model Town D","B-3, Derawal Nagar, Opp. Model Town, Delhi- 110009. 
Nodal Officer:
Dr. Ravin Sharma, Mob. No.  9810183948, 9212125996
gdicganesh@yahoo.co.in
",DELHI/HQ/DIRECTORATE/MINISTRY
"Jivanrekha Multispeciality Hospital","Sr. No. 28 Prabhu Complex, Opp. Republic School, Dehuroad, Pune-412107",Pune
"Shri Bhavani Multispecialty Hospital & Research Institute","58, Shri Bhawani Mata Mandir Road, Punapur, Pardi, Nagpur-440035 
Contact no. :-  0712-6782200/201/222

Email:- billing.shribhavanihospital@gmail.com  
",Nagpur
"Ganesh Mri Centre Pvt. Ltd.","Shop No. 2, LSC Mkt., KBlock, Opp. Sanjay Gandhi Hospital, Mangolpuri, New Delhi. Tel. No. 01165234629.",DELHI/HQ/DIRECTORATE/MINISTRY
"Hosp9p153453 Flores Hospital A Unit Of Mridula Health Care","G Blook Sector-11 Pratap Vihar Ghaziabad-201009, UP
Nodal Officer: 
Shudhanshu dubey 
Mob. No. 7905792964 
Email Id. floreshospital222@gmail.com
floreshospitalghaziabad@gmail.com

",DELHI/HQ/DIRECTORATE/MINISTRY
"Smile Ajmer Dental Clinic","Near SBI Bank, Taragarh Road, Chandravardai Nagar, Ajmer-305001
",Jaipur
"Kidney Hospital & Lifeline Medical Institutions , Jalandhar","63-64, Waryam Nagar, cool Road, Jalandhar 144001 Punjab",Chandigarh
"Abhinav Drishti Eye Hospital","B-719, Sector-C, Mahanagar, Lucknow-226006. ",Lucknow
"Tooth Whitening Studio","GF-5, Blok-K, Ansal Fortune Arcade, Sector-18, NOIDA-201301. Nodal Officer: Dr. Shivjot Chhina, Mob. 9811787808. 
Email. drajit1992@gmail.com 
",DELHI/HQ/DIRECTORATE/MINISTRY
"Capital Xray & Scan Clinic","C3, New Krishna Park, Main Nagafgarh Road, Vikaspuri, New Delhi18. Tel. No. 9911004545, 9911116464.",DELHI/HQ/DIRECTORATE/MINISTRY
"Omni Hospitals,Kothapet, Hyderabad","11-9-46, Opp. PVT Market, Kothapet X Roads, Dilsukhnagar, Hyderabad-500 035, Tel.No.040-67369999    ",Hyderabad
"Poulomi Hospital","A2, B17, Dr. AS Rao Nagar Rd, Lakshmipuram Colony, ECIL, Rukminipuri Colony, A. S. Rao Nagar, Secunderabad, Telangana 500062",Hyderabad
"Sharma Dental","RZ156/A, Dada Chhatriwala Marg, Gali No.9, Raj NagarI, Palam Colony, New Delhi110045. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Manocha Eye Hospital","Arya Chowk, Ambala City Haryana 134003",Chandigarh
"Sonia Hospital","1, Gulshan Park, Main Rohtak Road, Nangloi, Delhi. Tel. No. 8750060177",DELHI/HQ/DIRECTORATE/MINISTRY
"Helvetia Diagnostic & Healthcare","B2, Greater KailashI, New Delhi110048. Tel. No. 01146566999. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Adep Clinical Research & Diagnostics","B1, Ext., A39, Mohan Cooperative Industrial Estate, Mathura Road, New Delhi110044. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Akshat Seva Sadan","Yarpur Gardanibagh, Patna-01
Mr. Manish Kumar -9835087732
Email id-akshatsevasadan@gmail.com",Patna
"Desun Hospital Siliguri, North Bengal,","Medical College Road, Kawakhali Township, P.O -Sushrutnagar, PS - Matigara, Siliguri, Dist - Darjeeling, West Bengal - 734012",Kolkata
"Accord Super Speciality Hospital","A UNIT OF SCL HEALTHCARE PVT. LTD., FARIDABAD, HARYANA
NODAL OFFICER: MR. SANDEEP KUMAR BUTTAN, MOB. 9911784940, sandeep@accordhospital.co.in",DELHI/HQ/DIRECTORATE/MINISTRY
"Marble City Hospital & Research Centre","Parsi Anjuman, Bhanwartal Extension, Near Rani Durgawati Museum, Napier Town, Jabalpur
Tel. 2450530 -33",Jabalpur
"Precision Dental Care","C159, Sarita Vihar, New Delhi. Tel. No. 01126956300, 29942418.",DELHI/HQ/DIRECTORATE/MINISTRY
"Oracle Eye Care Unit Of Pritha Healthcare Pvt.Ltd.","181, Ram Ganga Vihar, Phase-1,MDA, Moradabad",Meerut
"Marwari Hospitals","SATI JAYMATI ROAD, ATHGAON, GUWAHATI-781008, ASSAM,
NODAL OFFICER- DEEPAK CHETRI, CONTACT No. 69001 75076",Guwahati
"Prachi Hospital Pvt. Ltd.","SECTOR-C 105, SHANTIPURAM, PHAPHAMAU, ALLAHABAD",Prayagraj
"Ojas Eye Hospital","Roseland Building, 180 Waterfield Road, Opp.National College, Bandra (W), Mumbai-400050, 022-61549999/26405951",Mumbai
"S.R. Dental Implants & Braces Centr","PU103, Opp. St. Stephens School, Pitampura, Delhi110034. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Aggarwal Liver & Gut Super
Speciality  Hospital","Aggarwal Liver & Gut Super Speciality  Hospital J.P Nagaro  Near  BSNL Telephone Exchange Jalandhar-144001  Punjab Mob:9041903132",Chandigarh
"Haryana Multi Speciality Hospital","Vivekanand Chowk, Behind LG Showroom,Sonipat131001",DELHI/HQ/DIRECTORATE/MINISTRY
"Banthia Hospital, Raipur"," Raja Talab Road, Raipur-492001 (Chhattisgarh)
Phone: 0771-2425009, Email: greatbanthia@  gmail.com
",Nagpur
"Lifecure Labs","SCO 58, Sec- 6 , Panchkula Mob: 9779775610",Chandigarh
"Sri Shankara Cancer Hospital & Research Centre",cghs@sschrc.org,Bengaluru
"Swaraashi Netralaya (Mulund)","605, 6th floor, Neptune Uptown Bldg, Opp Post Office N.S. Road, Mulund (west)Mumbai- 400602
",Mumbai
"Dr. Agarwal’S Eye Hospital, Jaipur","21, Shubham Enclave, Off. Jamna Lal Bajaj Marg",Jaipur
"M S Ramaiah Hospital( Formally Ms Ramaiah Teaching Hospital","MSR Nagar,   MSRIT Post
Bengaluru 560054",Bengaluru
"Navjeevan Hospital","A12, Pushpanjali Enclave, Pitampura, New Delhi  110088.",DELHI/HQ/DIRECTORATE/MINISTRY
"Viaan Eye & Retina Centre","UG4, Bestech Central Square Mall, Sushant LokII, Sector57, Gurgaon. Tel. No. 01244065151.",DELHI/HQ/DIRECTORATE/MINISTRY
"Paridhi Hospital And Care","111,112 Kailash Vihar main Road City Center, Jiwa ji University mahalgaon Gwalior, Madhya Pradesh Mob No. 8518053333 E mail Id. hospitalparidhi@gmail.com ",Kanpur
"R K Life Services Private Limited","KANCHAN ROAD OPP BORA SERVICE STATION, G S ROAD, ULUBARI, GUWAHATI-781007, ASSAM, NODAL OFFICER- DHARAMJIT BAISHYA, CONTACT No. 90856 32000",Guwahati
"Max Super Speciality Hospital (A Unit Of Max Health Care Institute Ltd.)","Malsi, Mussoorie Diversion Road, Dehradun.",Dehradun
"Dr. Dudhabhate Netralaya & Retina Center","Kudale Patil Estate, Flate No. 09, S.No. 15/2/1A, First/Stilt Floor, Sinhgad Road, Manikbag, Pune-411051",Pune
"Insight Eye Care And Laser Centre","1st Floor Utkarsh CHS Ram Mandir Road, Vazira Naka Borivali (W) Mumbai - 400092",Mumbai
"Nethradhama Hospitals Pvt Ltd - Mysuru","NO. 1118, GEETHA ROAD CHAMARAJAPURAM MYSURU ",Bengaluru
"Dr. Gyan'S Dental Speciality Clinic","F25/98, Sector7, Rohini, Delhi  110085. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Trimurti Hospital, Varanasi","S-2/344, Sikraul Gilat Bazar, Varanasi U.P-221002",Prayagraj
"Usha Mullapudi Cardiac Centre","Gajularamram, Gutubullapur mandal, Jeedimetla, Hyderabad-500055, Tel.No.040-23090609, 23090610      ",Hyderabad
"M/S. Vasan Health Care Private Limited, Visakhapatnam","10-50-81, Waltair Main Road, Rockdale Layout, Visakhapatnam, Andhra Pradesh 530006. mail: visakhapatnam.ap@vasaneye.in
Contact Person: Rahul Tomar Mobile:8463818721 Nodal Officer: Mr. Kishan Kumar Sri",Hyderabad
"Dr Muley'S Multi Speciality Dental Clinic","Plot No.22, Shailaja, Bhise Hospital Bldg, 1st Floor, Survodaya Society,
Near Saraswat Bank, Station Road, Ambernath (E) 421501, 0251-2609922",Mumbai
"Sanjeevan Medical Research (P) Ltd.","24, Ansari Road, Darya Ganj, New Delhi 110002.",DELHI/HQ/DIRECTORATE/MINISTRY
"Asvins Speciality Hospitals, Somajiguda",#6-3-903/A,Hyderabad
"Apus Nova Multi Specialty Hospital And Trauma Center (A Unit Of Saranya Health Services Pvt. Ltd.)","C-6, Sector-1, Raksha Puram, Behind Talwar Petrol Pump, Ganga Nagar, Mawana Road, Meerut (U.P.)250001,        0121-4001713",Meerut
"Virinchi Hospitals (A Unit Of Virinchi Healthcare Pvt., Ltd.,","6-3-3,6-3-2, 6-3-3/1, Road No.1 Banjara Hills, Hyderabad-500 034, Tel.No.040-4699999, ",Hyderabad
"Maan Hospital","SBI Square, Sultania Road, Bhopal (M.P), 0755-2548094, 2535584",Bhopal
"Konarc Hospital","9A/1, Naresh Park, Near Water Tank, Main Nagafgarh Road, Nangloi, Delhi110041. Tel. No. 25941497.",DELHI/HQ/DIRECTORATE/MINISTRY
"Cosmos Hospital (A Unit Of Emerging Projects Pvt. Ltd.)","Prem Nagar, P.O. Kazipura, Kanth Road, Moradabad- 244001",Meerut
"Jivodaya Hospital","Ashok Vihar, Phase-1 New Delhi 110052 
Dr. Deepthy SD Mob. 9990223699 jivodaya2017@gmail.com
",DELHI/HQ/DIRECTORATE/MINISTRY
"Saral Nursing Home","Lal Bangla (Opp. Chakeri Police Chowki), Kanpur.
Ph. 0512-2402121, 2402200
E-mail: saralnursinghome@yahoo.com",Kanpur
"Epitome Kidney Urology Institute And Lions Hospital","A-321, Khizarabad Village New Friends Colony, New Delhi-110025, Phone No. 01169058888 Email Id. mayank@epitomehospitals.com Nodal Officer: Mr. Vijay Kumar Kanojia Mob. No. 9311433568",DELHI/HQ/DIRECTORATE/MINISTRY
"Makashir Diagnostics","Lajpat Nagar, 4, New Delhi. Tel. No. 01126222458.",DELHI/HQ/DIRECTORATE/MINISTRY
"Smile Dental Clinic","Shop  No 7 Mini Market Nanakpura New Delhi 110021",DELHI/HQ/DIRECTORATE/MINISTRY
"Wockhardt Hospitals, Nagpur","N Ambazari Rd, Corporation Colony, Gandhi Nagar, Nagpur, Maharashtra 440033
Ph. no. 6624135/6624100",Nagpur
"M/S S. S. Vaidya Health Care Pvt. Ltd","Dr. C. B. Vaidya Memorial Hospital, Opp. City Post Office, 
Tilak Chowk, Kalyan (W) 421301, 0251-2201220",Mumbai
"Tej Eye Centre","901/1,Sector 7-C Opp.Main Bus Depot,GHRoad,Gandhinagar 382007079 23245126/927715120",Ahmedabad
"Apollo Hospital","Plot No. 1A, Bhat GIDC Estate
DistGandhinagar-382428 ph.07966701800/66701843",Ahmedabad
"City Criticare Hospital","City Criticare Hospital, 1st Floor, Shubham Apartment, Kalyan-Murbad Road, Syndicate, Above Bata Showroom Kalyan West, Dist Thane-421301, ",Mumbai
"S K Memorial Hospital","12,E.C ROAD
DEHRADUN",Dehradun
"Dr Harpreet Singh Liver And Digestive Diseases Centre","H12/16 The Mall, Near Celebration Mall, Amritsar- 143001
Tel:0183-2222510  Mob: 9814005527
",Chandigarh
"Bristlecone Hospitals(A Unit Of Virinchi Hospitals Pvt.Ltd.)","Plot No5 and 9 padmavathi colony Beside Saibaba temple Hayathnagar Hyderabad-501505 Tel-040 24112233",Hyderabad
"Ujala Cygnus Brightstar Hospital Ã¢Ï¿½Ï¿½ (A Unit Of Cygnus Medicar"," Sector 16, New Moradabad, Moradabad, Uttar Pradesh 244102",Meerut
"Hcg Hospital Emapnelled W.E.F. 27.05.2021","Secotor-5, Shipra Path",Jaipur
"I Clinix Advanced Eye Care","27/171, Vikram Vihar, Near Moolchand Metro Station, Lajpat NagarIV, New Delhi110024. ",DELHI/HQ/DIRECTORATE/MINISTRY
"Nishtha Retina Centre","Rajnagar society, behind white potato restaurant, , kalash circle,  akota, vadodara-390020
""Dr. Rajshree Arora- 0265 2395772, 6352731483,9099066029 Email:paramountcharitytrust@gmail.com
""
",Ahmedabad
"Metro Hospital Private Limited","2 No Khanapara,NH-37, Opposite Bodoland Guest House, Guwahati 781022. Contact No. 0361-2962335",Guwahati
